naics,enduse_cat,not_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
315,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,0.01,0.01,0,0,0,0,0,0
315,Direct Uses-Total Process,TRUE,Process Heating,0.03,0.01,0,0,0.1,0.01,0,0
315,End Use Not Reported,FALSE,End Use Not Reported,0.04,0.44,0,0,0.1,0.01,0,0.01
315,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,1.03,0.44,0,0.01,1.15,0.01,0,0
315,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,0.02,0,0,0,0.575,0.01,0,0
315,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,0.03,0.44,0,0.01,0.575,0,0,0
315,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,5,3,0,0.04,2,0.06,0,0.01
316,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,0.13,0.05,0,0.03,0.02,0.03,0,0
316,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0,0,0,0,0,0,0,0
316,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,0.04,0.01,0,0.01,0.01,0.01,0,0
316,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,0.01,0.01,0,0,0,0,0,0
316,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,0.03,0.01,0,0.01,0,0.01,0,0
316,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,0.03,0.01,0,0,0.01,0.01,0,0
316,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0.02,0.01,0,0.01,0,0,0,0
316,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,2.04,1,0.01,0.01,1,0.02,0,0
316,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,0.01,0.01,0,0,0,0,0,0
316,Direct Uses-Total Process,TRUE,Machine Drive,1.01,1,0,0,0.01,0,0,0
316,Direct Uses-Total Process,TRUE,Other Process Use,0.04,0.01,0.01,0,0.01,0.01,0,0
316,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,0.01,0.01,0,0,0,0,0,0
316,Direct Uses-Total Process,TRUE,Process Heating,1.03,0.01,0,0.01,1,0.01,0,0
316,End Use Not Reported,FALSE,End Use Not Reported,0.04,0.01,0,0,0.01,0.01,0,0.01
316,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,0.05,0.01,0.01,0.01,0.02,0,0,0
316,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,0.03,0,0.01,0.01,0.01,0,0,0
316,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,0.02,0.01,0,0,0.01,0,0,0
316,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,3,1,0.02,0.05,1,0.06,0,0.01
